ID Đơn,Ngày Tạo,Khách Hàng,Trạng Thái,Phí Thu Khách,Phí Trả Đối tác
92792,2026-05-13T09:02:46.194022,"",2,0,75000
92726,2026-05-13T07:32:00.188400,"",16,140400,120000
92619,2026-05-13T03:39:29.424505,"",2,200000,221000
92586,2026-05-13T02:37:18.601744,"",2,90000,60000
92456,2026-05-12T12:07:15.069682,"",2,25000,25000
92399,2026-05-12T09:27:03.695768,"",16,0,50000
92350,2026-05-12T08:02:08.120329,"",2,17000,17000
92228,2026-05-12T02:41:04.111924,"",8,30000,30000
92197,2026-05-12T01:09:39.037314,"",16,50000,50000
92122,2026-05-11T10:28:46.309632,"",16,45000,35000
92079,2026-05-11T08:38:42.834473,"",16,55000,61000
92020,2026-05-11T06:43:52.057440,"",16,65000,65000
91891,2026-05-11T00:57:28.586969,"",16,70000,60000
91793,2026-05-10T08:15:13.157852,"",2,70000,70000
91672,2026-05-09T10:13:12.265763,"",16,25000,30000
91652,2026-05-09T09:02:59.443009,"",16,27000,27000
91616,2026-05-09T08:04:21.440030,"",16,35000,35000
91606,2026-05-09T07:36:52.548299,"",16,25000,21000
91557,2026-05-09T03:48:54.882638,"",2,55000,40000
91538,2026-05-09T03:12:39.548221,"",2,60000,40000
91518,2026-05-09T02:04:20.529108,"",16,35000,25000
91418,2026-05-08T10:28:43.354052,"",16,30000,26000
91409,2026-05-08T09:57:57.941914,"",2,120000,145000
91269,2026-05-08T02:19:02.990803,"",16,40000,40000
91264,2026-05-08T02:08:15.376479,"",16,40000,10000
91180,2026-05-07T11:54:35.312577,"",16,150000,150000
91168,2026-05-07T10:24:38.505362,"",2,0,232000
91162,2026-05-07T09:52:44.766166,"",16,150000,151000
91144,2026-05-07T08:23:16.559298,"",16,60000,60000
91140,2026-05-07T08:09:26.016458,"",16,150000,171000
91105,2026-05-07T06:34:50.507798,"",16,120000,120000
91072,2026-05-07T04:55:14.907910,"",16,120000,131000
91071,2026-05-07T04:49:51.182180,"",2,60000,45000
91069,2026-05-07T04:40:09.408737,"",8,35000,34000
90837,2026-05-06T08:13:33.399609,"",2,0,25000
90805,2026-05-06T07:02:10.333285,"",16,60000,55000
90794,2026-05-06T06:42:16.902642,"",16,90000,90000
90770,2026-05-06T05:32:28.373496,"",16,40000,40000
90744,2026-05-06T04:59:25.839823,"",16,80000,60000
90677,2026-05-06T02:47:04.211508,"",16,30000,20000
90506,2026-05-05T09:54:08.247787,"",16,15000,16000
90505,2026-05-05T09:45:26.743575,"",6,0,25000
90499,2026-05-05T09:10:03.964161,"",16,50000,50000
90451,2026-05-05T06:51:33.199435,"",16,26000,27000
90325,2026-05-05T02:18:21.109480,"",16,30000,30000
90320,2026-05-05T02:01:19.589835,"",16,65000,60000
90194,2026-05-04T09:12:31.869906,"",16,40000,35000
90159,2026-05-04T06:58:16.828461,"",16,35000,26000
90156,2026-05-04T06:54:50.821977,"",16,0,29000
90120,2026-05-04T03:48:53.832645,"",2,0,13000
90118,2026-05-04T03:23:22.379183,"",16,60000,65000
90115,2026-05-04T03:20:36.200075,"",16,90000,90000
90098,2026-05-04T02:39:32.591330,"",16,80000,80000
90093,2026-05-04T02:18:06.460928,"",16,0,20000
90091,2026-05-04T02:15:31.042025,"",16,50000,50000
90085,2026-05-04T02:04:05.394164,"",16,100000,180000
90068,2026-05-04T01:32:57.134808,"",16,150000,187000
90067,2026-05-04T01:32:56.214673,"",16,60000,61000
90066,2026-05-04T01:28:35.694212,"",2,55000,55000
90063,2026-05-04T01:23:26.486764,"",16,55000,50000
90061,2026-05-04T01:18:21.351893,"",16,170000,171000
90059,2026-05-04T01:15:26.573031,"",16,37000,50000
90052,2026-05-04T01:01:56.884109,"",16,20000,33000
89968,2026-05-02T14:51:59.743761,"",16,250000,325000
89957,2026-04-29T10:03:44.842531,"",16,100000,100000
89939,2026-04-29T08:52:08.962841,"",3,0,61000
89929,2026-04-29T08:10:29.970232,"",16,22000,21000
89870,2026-04-29T04:20:56.827828,"",16,40000,33000
89863,2026-04-29T04:02:18.204886,"",16,40000,40000
89857,2026-04-29T03:29:52.511273,"",16,40000,65000
89752,2026-04-28T11:13:18.446905,"",16,32000,32000
89743,2026-04-28T10:14:44.302888,"",16,25000,15000
89703,2026-04-28T07:28:05.518234,"",16,7600,150000
89690,2026-04-28T06:37:42.137713,"",16,0,80000
89662,2026-04-28T04:44:49.850806,"",16,50000,30000
89637,2026-04-28T03:59:50.906316,"",16,70000,45000
89631,2026-04-28T03:38:53.746009,"",16,170000,170000
89622,2026-04-28T03:27:29.472972,"",16,0,10000
89611,2026-04-28T03:02:14.309210,"",16,55000,35000
89599,2026-04-28T02:33:31.619430,"",16,25000,25000
89514,2026-04-27T10:01:59.047702,"",16,60000,50000
89510,2026-04-27T09:50:59.464822,"",16,35000,35000
89457,2026-04-27T07:04:27.233612,"",16,80000,70000
89419,2026-04-27T03:49:56.294716,"",16,55000,50000
89365,2026-04-27T01:22:07.687331,"",16,25000,24000
89360,2026-04-27T00:59:27.531289,"",16,80000,83000
89250,2026-04-25T08:51:36.804332,"",16,370000,493000
89249,2026-04-25T08:49:41.237423,"",16,45000,45000
89174,2026-04-25T04:36:39.783623,"",2,0,2473200
89170,2026-04-25T04:15:21.809530,"",2,50000,40000
89160,2026-04-25T03:33:41.675686,"",16,150001,130000
89137,2026-04-25T02:53:48.788300,"",16,45000,45000
89124,2026-04-25T02:01:53.612261,"",16,120000,100000
88998,2026-04-24T07:32:08.773021,"",16,25000,26000
88972,2026-04-24T05:40:13.718507,"",4,0,32000
88941,2026-04-24T03:43:31.602608,"",16,65000,60000
88919,2026-04-24T03:13:23.759800,"",16,35000,30000
88898,2026-04-24T02:12:52.328220,"",16,110000,108000
88884,2026-04-24T01:09:36.145466,"",16,50000,55000
88815,2026-04-23T10:34:33.367100,"",16,50000,55000
88692,2026-04-23T02:47:21.479968,"",16,35000,33000
88676,2026-04-23T01:35:08.685466,"",16,90000,90000
88547,2026-04-22T06:39:14.808980,"",16,55100,55000
88546,2026-04-22T06:38:13.960179,"",16,35000,37000
88487,2026-04-22T03:03:30.366949,"",16,0,80000
88400,2026-04-21T10:08:33.392189,"",16,50000,50000
88359,2026-04-21T07:47:32.815791,"",3,0,100000
88348,2026-04-21T07:20:40.026580,"",2,0,35000
88310,2026-04-21T04:55:30.422398,"",16,30000,30000
88308,2026-04-21T04:48:28.039532,"",16,65000,55000
88284,2026-04-21T04:04:31.949162,"",16,200000,180000
88249,2026-04-21T03:06:17.100554,"",16,30000,28000
88246,2026-04-21T03:04:20.873604,"",16,20000,17000
88073,2026-04-20T08:16:33.414902,"",16,50000,50000
88072,2026-04-20T08:15:10.224537,"",16,0,250000
88053,2026-04-20T07:16:18.078513,"",16,53000,50000
88047,2026-04-20T07:06:46.434744,"",16,130000,135000
88041,2026-04-20T06:54:54.733193,"",16,0,80000
88033,2026-04-20T06:37:31.833802,"",16,55000,50000
